#Name,#tic_id,#Per,#Per_err,#Ecc,#Ecc_err,#T0,#T0_err,#a/R*,#a/R*_err,#Rp/R*,#Rp/R*_err,#Teff,#M/H,#Logg,#RA,#DEC,#sum
Kepler-1071 b,TIC 275490723,6.1799844,1.367E-05,,,2454965.72243,0.00173,,,0.02729,1E-05,5215,0.01,4.56,293.0579794,45.2487472,4
Kepler-1072 b,TIC 63072565,1.5690665,2.9E-06,,,2454966.04048,0.00158,,,0.01131,0.00033,6199,0.07,4.27,292.0443891,46.3289723,4
Kepler-1073 b,TIC 138568416,8.67888593,2.409E-05,,,2454966.03761,0.00223,,,0.02143,0.00068,5792,0,4.44,294.1527259,38.2330886,0
Kepler-1073 c,TIC 138568416,4.02582254,1.484E-05,,,2454968.42601,0.00349,,,0.01512,0.00067,5792,0,4.44,294.1527259,38.2330886,0
Kepler-1074 b,TIC 164724987,5.94566534,1.443E-05,,,2454966.99298,0.00194,,,0.01984,0.00382,4002,-0.06,4.7,284.4766869,46.2526781,4
Kepler-1075 b,TIC 158489841,1.52372816,2.7E-06,,,2454964.61924,0.00147,,,0.02353,0.00254,3959,-0.17,4.72,287.5011404,47.4691157,6
Kepler-1076 b,TIC 399955825,6.14727918,2.112E-05,,,2454967.87409,0.00269,,,0.01,0.00051,4868,-0.01,4.6,287.5902594,51.0606047,4
Kepler-1077 b,TIC 159574927,34.3511874,0.0001503,,,2454967.18978,0.0035,,,0.025,0.0026,5816,0.03,4.43,291.0336333,42.2678448,2
Kepler-1078 b,TIC 275494550,3.00725242,1.242E-05,,,2454964.90272,0.00367,,,0.01886,0.00169,5612,-0.01,4.49,293.2005664,43.0500379,4
Kepler-1079 b,TIC 268932150,13.24503188,4.886E-05,,,2454975.00653,0.00282,,,0.01133,0.00042,5758,0.21,4.21,299.5495794,45.7696769,4
Kepler-108 b,TIC 271164755,49.183921,5.4E-05,,,2454974.91123,0.00066,,,,,5854,,3.9,294.5589885,46.0623952,4
Kepler-108 c,TIC 271164755,190.323494,0.000988,,,2455145.67323,0.00255,,,,,5854,,3.9,294.5589885,46.0623952,4
Kepler-1080 b,TIC 27847814,77.2548396,0.0003198,,,2454992.32241,0.00314,,,0.02558,7E-05,5956,0.09,4.35,296.4644914,49.1828952,4
Kepler-1081 b,TIC 122066167,3.85691855,9.66E-06,,,2454967.47172,0.00216,,,0.01097,0.00036,5345,0.01,4.54,289.444752,41.3179652,2
Kepler-1082 b,TIC 299218775,1.5432066,4.54E-06,,,2454964.55588,0.00241,,,0.00878,0.00029,5923,-0.06,4.33,289.3586737,50.5984489,4
Kepler-1083 b,TIC 164458639,33.4177993,0.0001854,,,2454988.58942,0.00477,,,0.03952,0.00059,5049,-0.02,4.58,283.1618831,45.198336,4
Kepler-1084 b,TIC 267749737,2.05333679,4.13E-06,,,2454967.51799,0.00177,,,0.0076,0.00016,6113,-0.02,4.27,290.1019809,48.251146,4
Kepler-1085 b,TIC 158487108,219.3217528,0.0008946,,,2455153.7286,0.00233,,,0.05815,0.00033,6000,0.08,4.37,287.4776359,46.1411685,6
Kepler-1085 c,TIC 158487108,56.7771,,,,,,,,,,5816,,4.39,287.4776359,46.1411685,6
Kepler-1086 b,TIC 271545939,18.78425728,5.283E-05,,,2454970.88324,0.00232,,,0.03402,0.0048,4350,0.06,4.65,295.251187,45.8429537,4
Kepler-1086 c,TIC 271545939,161.5163345,0.0008629,,,2455009.49766,0.00404,,,0.04097,0.00124,4350,0.06,4.65,295.251187,45.8429537,4
Kepler-1087 b,TIC 271353794,0.69384285,1.59E-06,,,2454965.18012,0.00211,,,0.00646,0.00022,5589,0.01,4.48,294.9789253,46.0056741,4
Kepler-1088 b,TIC 123316231,23.12748644,8.919E-05,,,2454978.65956,0.00306,,,0.0118,0.00019,5975,0.05,4.4,281.5614578,42.4504087,4
Kepler-1089 b,TIC 350810654,5.13248562,9.48E-06,,,2454965.1593,0.00174,,,0.034,0.00041,3753,-0.09,4.76,291.0926509,49.1901729,4
Kepler-109 b,TIC 122441003,6.48163,,,,2454955.97755,,,,0.01643,,5952,-0.08,4.21,290.3926795,40.2849074,2
Kepler-109 c,TIC 122441003,21.2227,,,,2454970.5725,,,,0.01743,,5952,-0.08,4.21,290.3926795,40.2849074,2
Kepler-1090 b,TIC 271885110,198.680179,0.002176,,,2455103.66913,0.00765,,,0.02538,0.00092,5321,-0.04,4.55,295.6629002,44.5258237,4
Kepler-1091 b,TIC 269262974,1.43474156,3.27E-06,,,2454965.62944,0.00199,,,0.0133,0.00051,5851,0,4.42,299.7854426,43.6707235,4
Kepler-1092 b,TIC 273378026,58.6017925,0.0006006,,,2454970.66944,0.00508,,,0.01934,0.00063,5862,-0.09,4.44,297.7232008,47.1126833,4
Kepler-1093 b,TIC 120420344,25.0824626,0.0001211,,,2454967.13343,0.00408,,,0.01476,0.00053,6166,-0.01,4.33,284.9780251,41.4202077,4
Kepler-1093 c,TIC 120420344,89.722292,0.00108,,,2454996.1587,0.0113,,,0.01507,0.00347,6166,-0.01,4.33,284.9780251,41.4202077,4
Kepler-1094 b,TIC 137549134,78.1000231,0.0006388,,,2454972.49588,0.0065,,,0.02444,0.00063,6112,0.06,4.33,292.3012109,38.2669983,1
Kepler-1095 b,TIC 138096962,4.27103091,1.48E-05,,,2454966.1404,0.00258,,,0.01249,0.00063,5658,-0.09,4.48,293.2624215,41.3650155,0
Kepler-1096 b,TIC 271255413,2.89221751,6E-06,,,2454965.87706,0.00161,,,0.01796,0.00526,4306,-0.1,4.66,294.7094688,45.9695533,4
Kepler-1097 b,TIC 123316380,187.747029,0.001894,,,2454990.35773,0.00581,,,0.03792,0.00189,5211,-0.11,4.57,281.5941261,42.5963949,4
Kepler-1098 b,TIC 271763415,2.54307286,9.59E-06,,,2454965.67929,0.00346,,,0.01174,0.00052,5794,-0.02,4.45,295.502673,43.2326992,4
Kepler-1099 b,TIC 299033164,2.16845259,2.8E-06,,,2454965.14076,0.00106,,,0.02567,0.00104,5837,-0.02,4.45,288.7499866,48.2771163,4
Kepler-11 b,TIC 169175503,10.3039,0.0006,0.045,0.068,2455589.7378,0.0026,18.55,0.31,0.01563,0.00018,5663,,4.37,297.1150949,41.9091092,4
Kepler-11 c,TIC 169175503,13.0241,0.0013,0.026,0.063,2455583.3494,0.0014,21.69,0.37,0.02496,0.00015,5663,,4.37,297.1150949,41.9091092,4
Kepler-11 d,TIC 169175503,22.6845,0.0009,0.004,0.007,2455594.0069,0.0022,31.39,0.53,0.02714,0.00018,5663,,4.37,297.1150949,41.9091092,4
Kepler-11 e,TIC 169175503,31.9996,0.0008,0.012,0.006,2455595.0755,0.0015,39.48,0.67,0.03643,0.00021,5663,,4.37,297.1150949,41.9091092,4
Kepler-11 f,TIC 169175503,46.6888,0.0027,0.013,0.011,2455618.271,0.0041,50.79,0.86,0.02169,0.00026,5663,,4.37,297.1150949,41.9091092,4
Kepler-11 g,TIC 169175503,118.3807,0.001,0.15,,2455593.8021,0.003,94.4,1.6,0.02899,0.00022,5663,,4.37,297.1150949,41.9091092,4
Kepler-110 b,TIC 26751563,12.691112,3.6E-05,,,2454970.12296,0.00166,,,,,5960,,4.33,292.9291693,48.6028303,4
Kepler-110 c,TIC 26751563,31.719775,0.000104,,,2454975.82056,0.00177,,,,,5960,,4.33,292.9291693,48.6028303,4
Kepler-1100 b,TIC 63009789,6.42200058,2.182E-05,,,2454967.58093,0.00294,,,0.01189,0.00035,6247,0.05,4.26,291.8713535,44.0873907,2
Kepler-1101 b,TIC 271163971,81.3151059,0.0005693,,,2455008.99732,0.00539,,,0.02534,0.00099,5614,-0.04,4.5,294.5693544,45.6711623,4
Kepler-1102 b,TIC 47976987,51.3285623,0.0003326,,,2455010.67237,0.00511,,,0.02562,0.00359,5724,-0.08,4.48,281.3225917,48.0664955,4
Kepler-1103 b,TIC 399951202,19.79191978,9.543E-05,,,2454982.30853,0.00356,,,0.01811,0.00064,6092,-0.01,4.36,287.3821348,49.4524247,4
Kepler-1104 b,TIC 27186509,5.03728015,1.378E-05,,,2454967.1094,0.00223,,,0.00819,0.00029,6417,0.13,4.25,294.4685197,49.3309789,4
Kepler-1105 b,TIC 123231917,4.42157218,9.77E-06,,,2454965.18354,0.00186,,,0.0268,0.0006,4299,0.28,4.62,281.1117588,42.4549698,4
Kepler-1106 b,TIC 159649503,1.25275217,2.15E-06,,,2454966.17052,0.00137,,,0.01337,0.0004,6104,0,4.35,291.1451576,44.0624715,4
Kepler-1107 b,TIC 122716169,0.57103852,4.2E-07,,,2454964.653538,0.000589,,,0.01458,0.00039,5268,0.01,4.55,291.049934,39.141674,1
Kepler-1108 b,TIC 272083644,4.51005748,1.33E-05,,,2454967.56728,0.00246,,,0.01582,0.00066,5406,-0.09,4.54,296.0422962,45.98514,4
Kepler-1109 b,TIC 137336979,37.6467384,0.000212,,,2454994.4638,0.0045,,,0.01912,0.00052,5893,0.04,4.41,291.6462654,39.3966122,1
Kepler-111 b,TIC 63001143,3.341815,6E-06,,,2454974.35574,0.00106,,,,,5952,,4.38,291.653163,44.6882613,2
Kepler-111 c,TIC 63001143,224.784608,0.000411,,,2454975.09604,0.00095,,,,,5952,,4.38,291.653163,44.6882613,2
Kepler-1110 b,TIC 351060274,9.69312032,3.024E-05,,,2454967.52964,0.00285,,,0.0347,0.00456,4781,-0.16,4.62,291.8080645,38.6226615,1
Kepler-1111 b,TIC 271663670,8.79617863,2.97E-05,,,2454968.67717,0.00292,,,0.01639,0.00056,6077,0.02,4.36,295.4634045,45.8127697,4
Kepler-1112 b,TIC 272841734,14.36267939,5.701E-05,,,2454974.43634,0.00344,,,0.01811,0.00053,6496,0.04,4.19,296.9687937,47.7514799,4
Kepler-1113 b,TIC 122062725,42.3004954,0.0002092,,,2455001.77877,0.00368,,,0.02177,0.00086,5931,0.18,4.35,289.4066969,39.338813,1
Kepler-1114 b,TIC 268612417,14.97435694,5.221E-05,,,2454974.50172,0.00284,,,0.01495,0.00059,5374,-0.08,4.55,299.2370531,45.8347781,4
Kepler-1115 b,TIC 138960099,23.5540725,0.0001356,,,2454977.21245,0.00475,,,0.00869,0.00027,8480,-0.51,4.17,294.9917723,40.1443964,3
Kepler-1116 b,TIC 63076026,41.6977827,0.0002004,,,2454967.24364,0.00386,,,0.02491,0.00085,5641,0.01,4.48,291.9336573,44.1154992,2
Kepler-1117 b,TIC 26583640,4.79028459,1.86E-05,,,2454967.95434,0.00324,,,0.01115,0.00051,5612,0.03,4.49,292.0847866,49.2374206,4
Kepler-1118 b,TIC 239238425,38.6715075,0.0002298,,,2454990.62071,0.00511,,,0.02563,0.00331,5688,0,4.46,299.9656619,44.1608805,4
Kepler-1119 b,TIC 272940104,8.3265153,4.777E-05,,,2454968.58682,0.00465,,,0.01541,0.00062,6083,0.03,4.35,297.0191018,44.3274936,4
Kepler-112 b,TIC 272943597,8.408878,1E-05,,,2454967.0062,0.00069,,,,,5544,,4.51,296.9811361,43.2097025,4
Kepler-112 c,TIC 272943597,28.574263,6E-05,,,2454976.8308,0.00122,,,,,5544,,4.51,296.9811361,43.2097025,4
Kepler-1120 b,TIC 159573412,2.94902905,7.47E-06,,,2454966.13641,0.0021,,,0.01716,0.00083,4904,-0.04,4.6,290.9144516,42.2865522,2
Kepler-1121 b,TIC 28230581,13.15141081,5.864E-05,,,2454977.16108,0.00336,,,0.01078,0.00015,6231,0.12,4.14,297.7865467,47.8861542,4
Kepler-1122 b,TIC 158664692,42.1917357,0.0002996,,,2454988.31547,0.00578,,,0.02143,0.00076,5544,-0.03,4.51,288.2805801,46.3408747,4
Kepler-1123 b,TIC 27188610,4.33946454,1.178E-05,,,2454965.80245,0.00218,,,0.01732,0.00071,5500,0.05,4.5,294.5177291,50.6703927,4
Kepler-1124 b,TIC 120963454,2.85234897,3.03E-06,,,2454965.044317,0.000872,,,0.03537,0.00282,3658,-0.59,4.93,286.5942529,37.8912836,1
Kepler-1125 b,TIC 184009076,17.6700642,0.0001176,,,2454964.59796,0.00577,,,0.01767,0.00073,5683,-0.09,4.47,295.4812018,40.7319316,3
Kepler-1126 b,TIC 352013661,108.593329,0.001003,,,2455006.75102,0.00774,,,0.01719,0.0007,5798,-0.26,4.46,285.691955,45.6893993,4
Kepler-1127 b,TIC 275569511,5.12330347,2.272E-05,,,2454965.08566,0.0035,,,0.01901,0.00034,5664,0.04,4.47,293.2173563,42.7205846,4
Kepler-1128 b,TIC 137972889,61.6178167,0.0003337,,,2455012.07877,0.00467,,,0.03658,0.00059,5543,0.04,4.5,293.063315,39.4034052,1
Kepler-1129 b,TIC 137212833,24.3397804,0.0001298,,,2454969.05935,0.0046,,,0.02661,0.00011,5831,-0.04,4.44,291.6044965,41.3093275,2
Kepler-1129 c,TIC 137212833,76.5369586,0.0007586,,,2454997.15492,0.00866,,,0.02456,0.00092,5831,-0.04,4.44,291.6044965,41.3093275,2
Kepler-113 b,TIC 298834019,4.754,,,,2454961.5463,,,,0.02419,,4725,0.05,4.64,287.9978721,50.9441847,4
Kepler-113 c,TIC 298834019,8.92507,,,,2454972.71374,,,,0.02914,,4725,0.05,4.64,287.9978721,50.9441847,4
Kepler-1130 b,TIC 164882482,5.45298175,1.294E-05,,,2454967.15102,0.002,,,0.009,0.00179,5403,-0.06,4.57,285.207421,45.384333,4
Kepler-1131 b,TIC 27642556,3.53232449,1.266E-05,,,2454967.74478,0.00274,,,0.01405,0.00062,5851,0.05,4.42,295.6514492,49.2612954,4
Kepler-1132 b,TIC 405719448,62.8916228,0.0004523,,,2454972.12956,0.00536,,,0.02618,0.00093,5298,-0.01,4.55,286.3675188,48.4238906,2
Kepler-1133 b,TIC 275569784,11.55562343,3.409E-05,,,2454971.19596,0.00207,,,0.01953,0.00091,5569,-0.02,4.5,293.3224114,42.8674925,4
Kepler-1134 b,TIC 271758442,17.13263989,8.204E-05,,,2454980.1548,0.004,,,0.02981,7E-05,5281,-0.1,4.56,295.5678578,42.4781064,4
Kepler-1135 b,TIC 158114283,76.957857,0.0007104,,,2455025.33214,0.00658,,,0.01755,0.00019,5656,0.02,4.47,286.0029904,44.7565551,4
Kepler-1136 b,TIC 164671623,2.36172433,3.65E-06,,,2454966.2393,0.00132,,,0.02168,0.00108,4512,0.03,4.63,284.1078441,44.2458047,4
Kepler-1137 b,TIC 399913391,23.9210791,0.0001379,,,2454972.07583,0.00449,,,0.01143,0.00039,6807,0.05,4.08,287.1302407,48.665347,4
Kepler-1138 b,TIC 405685914,3.17060005,1.019E-05,,,2454965.67726,0.0024,,,0.01713,0.00067,5582,0.04,4.49,285.8993164,48.307285,4
Kepler-1139 b,TIC 121458495,0.81316672,1.25E-06,,,2454964.82534,0.00133,,,0.01204,0.00053,5550,0.05,4.5,287.9455985,39.2305281,2
Kepler-114 b,TIC 27011135,5.188549,1.2E-05,,,2454978.3632,0.0014,,,,,4605,,4.65,294.121482,48.3497977,4
Kepler-114 c,TIC 27011135,8.041,,,,,,,,,,,,4.72,294.121482,48.3497977,4
Kepler-114 d,TIC 27011135,11.776,,,,,,,,,,,,4.72,294.121482,48.3497977,4
Kepler-1140 b,TIC 123359347,24.0862707,0.000102,,,2454981.20227,0.00307,,,0.03496,0.00558,4850,-0.08,4.61,281.6940529,46.946521,4
Kepler-1141 b,TIC 159393734,2.34451194,5.35E-06,,,2454965.87337,0.00198,,,0.00704,0.00036,5791,0.04,4.38,290.5436836,47.7259073,4
Kepler-1142 b,TIC 63366291,18.3027248,0.0001389,,,2454975.89236,0.00606,,,0.01398,0.00201,5685,0.02,4.46,292.7144796,44.0822816,4
Kepler-1143 b,TIC 121215172,2.88890485,6.94E-06,,,2454965.15279,0.00181,,,0.01974,0.00092,5053,-0.06,4.58,287.302772,39.2896399,2
Kepler-1143 c,TIC 121215172,210.630591,0.001456,,,2455133.72799,0.00643,,,0.04306,0.00534,5053,-0.06,4.58,287.302772,39.2896399,2
Kepler-1144 b,TIC 159226202,17.14647302,9.073E-05,,,2454973.66098,0.00476,,,0.01943,0.00075,5753,-0.03,4.47,290.0432936,47.2578857,2
Kepler-1145 b,TIC 271539239,3.97076766,1.11E-05,,,2454967.63885,0.00225,,,0.01708,0.00075,5064,-0.13,4.59,295.3081524,43.0444026,4
Kepler-1146 b,TIC 158322622,2.3522658,8.25E-06,,,2454964.80405,0.00273,,,0.01631,0.00112,4692,-0.06,4.62,286.716712,47.425658,6
Kepler-1147 b,TIC 137757057,10.62784997,9.118E-05,,,2454970.82181,0.00709,,,0.02075,3E-05,5941,0.11,4.36,292.5474753,41.6429221,0
Kepler-1148 b,TIC 159581434,1.10446351,1.29E-06,,,2454965.32076,0.001,,,0.01998,0.00074,5054,-0.02,4.58,290.9536059,45.7195545,2
Kepler-1149 b,TIC 270857274,3.73089898,1.502E-05,,,2454965.89466,0.00357,,,0.01332,0.00016,5833,0.02,4.43,294.1891824,45.1515263,4
Kepler-115 b,TIC 273383120,2.403679,1.2E-05,,,2454967.72847,0.00305,,,,,5979,,4.31,297.7119299,45.261985,4
Kepler-115 c,TIC 273383120,8.990889,2.1E-05,,,2454969.73792,0.00132,,,,,5979,,4.31,297.7119299,45.261985,4
Kepler-1150 b,TIC 27913639,2.78786839,8.26E-06,,,2454966.90434,0.00269,,,0.0128,0.00051,4754,0.01,4.61,296.7244553,49.5326846,4
Kepler-1151 b,TIC 63204022,65.6478424,0.000401,,,2455006.30517,0.00487,,,0.02373,0.00108,5470,-0.11,4.53,292.2477819,47.8784257,4
Kepler-1152 b,TIC 159382189,1.64680191,2.67E-06,,,2454965.0606,0.00136,,,0.01545,0.00038,3964,-0.25,4.73,290.4341483,44.1077802,4
Kepler-1153 b,TIC 158987296,1.75583533,4.39E-06,,,2454966.15727,0.00195,,,0.01848,0.00089,5470,0.03,4.52,289.1471849,45.86613,4
Kepler-1154 b,TIC 169561256,5.1856142,2.676E-05,,,2454965.32089,0.00422,,,0.01496,0.00051,6327,0.04,4.23,297.4771158,39.8772345,3
Kepler-1154 c,TIC 169561256,8.45808312,4.757E-05,,,2454970.0593,0.0044,,,0.01493,0.00074,6327,0.04,4.23,297.4771158,39.8772345,3
Kepler-1155 b,TIC 121785676,33.469743,0.0002003,,,2454973.15101,0.00444,,,0.01803,0.00086,5842,0.04,4.43,288.8206058,39.5228712,2
Kepler-1156 b,TIC 158842046,11.89520511,6.499E-05,,,2454965.88994,0.00418,,,0.01208,0.00052,5778,0.02,4.44,288.9240901,46.0575865,4
Kepler-1157 b,TIC 164460347,4.45743164,1.699E-05,,,2454965.16009,0.00342,,,0.01441,6E-05,4679,0.05,4.62,283.1209268,43.5255701,4
Kepler-1158 b,TIC 137557778,13.5396293,9.329E-05,,,2454976.15164,0.00517,,,0.0106,0.00041,6203,0.18,4.01,292.2339048,41.5751832,2
Kepler-1159 b,TIC 270955277,22.70816791,9.541E-05,,,2454966.72172,0.00357,,,0.01681,0.00053,6217,0.04,4.3,294.266325,45.2042317,4
Kepler-116 b,TIC 271260980,5.968734,9E-06,,,2454970.15762,0.00092,,,,,6142,,4.2,294.7420605,43.5367842,4
Kepler-116 c,TIC 271260980,13.07163,5.6E-05,,,2454977.43294,0.00263,,,,,6142,,4.2,294.7420605,43.5367842,4
Kepler-1160 b,TIC 158630233,7.97034958,3.122E-05,,,2454969.55753,0.00342,,,0.022,0.00097,5519,0.01,4.51,287.8793899,43.3640752,2
Kepler-1161 b,TIC 268390796,10.71252541,3.876E-05,,,2454970.16618,0.00297,,,0.03413,0.00789,4253,-0.35,4.7,299.0770621,45.4405583,4
Kepler-1162 b,TIC 164522726,32.5637069,0.0002472,,,2454996.45606,0.00662,,,0.02433,0.005,5390,-0.03,4.54,283.2920273,45.4339813,4
Kepler-1163 b,TIC 406950324,6.11786898,2.808E-05,,,2454966.61609,0.0039,,,0.00726,0.00011,6302,0.02,4.26,290.235863,50.0300654,4
Kepler-1164 b,TIC 121275496,3.97599768,1.086E-05,,,2454966.62134,0.0022,,,0.01345,0.00026,5183,-0.03,4.57,287.5296372,38.8945065,1
Kepler-1165 b,TIC 158326744,9.478522,5.909E-05,,,2454973.16662,0.00439,,,0.0121,0.00047,6080,0.05,4.34,286.9712284,44.7082669,4
Kepler-1166 b,TIC 406951266,33.2406882,0.00028,,,2454976.46245,0.00779,,,0.01752,0.00626,5446,-0.02,4.53,290.3484956,50.9028387,4
Kepler-1167 b,TIC 273875149,1.00393374,2.68E-06,,,2454965.09731,0.00249,,,0.02103,0.00093,4971,-0.05,4.6,298.3026595,47.6939654,4
Kepler-1168 b,TIC 158412890,55.8226539,0.0003871,,,2455002.03641,0.00539,,,0.02752,0.00137,5157,0.13,4.56,287.2977834,47.455488,6
Kepler-1169 b,TIC 271354748,6.11009134,2.806E-05,,,2454969.913,0.00371,,,0.00732,0.00031,6191,0.26,4.35,294.9115874,46.4914718,4
Kepler-117 b,TIC 299032847,18.7959228,7.5E-06,0.0493,0.0062,2454978.82204,0.00035,19.67,0.37,0.0463,0.00025,6150,-0.04,4.1,288.7930651,48.040176,4
Kepler-117 c,TIC 299032847,50.790391,1.4E-05,0.0323,0.0033,2454968.63205,0.00025,38.18,0.72,0.07052,0.00034,6150,-0.04,4.1,288.7930651,48.040176,4
Kepler-1170 b,TIC 63125460,9.98969327,4.242E-05,,,2454966.76149,0.00348,,,0.02931,0.00138,5069,-0.09,4.58,292.1685422,43.7795963,2
Kepler-1171 b,TIC 138888759,1.44259224,2.19E-06,,,2454967.0722,0.00121,,,0.01226,0.00028,7044,-0.01,4.05,294.9589285,38.5915968,1
Kepler-1172 b,TIC 122507231,26.0204423,0.0001886,,,2454987.52468,0.00622,,,0.0332,0.00103,5558,-0.04,4.51,290.4744875,37.7665499,1
Kepler-1173 b,TIC 275490034,0.7698536,1.2E-06,,,2454965.52142,0.00123,,,0.01014,0.00249,5252,0,4.55,293.1311803,45.6634153,4
Kepler-1174 b,TIC 123408863,6.89225223,2.664E-05,,,2454965.4643,0.0029,,,0.01379,0.0006,5936,-0.04,4.42,281.8314296,42.298891,4
Kepler-1175 b,TIC 158986028,37.94563,0.0001732,,,2454967.78267,0.00384,,,0.03184,0.00105,5453,-0.04,4.53,289.1426847,46.8129656,4
Kepler-1176 b,TIC 273582656,24.1738579,0.0001336,,,2454968.62444,0.00473,,,0.02186,0.00105,5844,-0.01,4.42,297.919724,45.2742038,4
Kepler-1177 b,TIC 399826020,106.247547,0.001822,,,2454968.7451,0.0132,,,0.01824,0.00068,5712,0.02,4.46,286.6714813,49.4062964,6
Kepler-1178 b,TIC 158729099,31.80634,0.0003857,,,2454983.6643,0.0104,,,0.01278,0.00054,4990,-0.05,4.59,288.4561183,45.8022258,4
Kepler-1179 b,TIC 164658882,2.68505749,4.1E-06,,,2454965.60411,0.00129,,,0.01485,0.00056,5212,-0.03,4.56,284.0974305,47.8104856,6
Kepler-118 b,TIC 171884427,7.518496,5.6E-05,,,2454965.53666,0.00459,,,,,5274,,4.32,299.2131881,41.4248195,3
Kepler-118 c,TIC 171884427,20.17202,1.3E-05,,,2454974.2084,0.00041,,,,,5274,,4.32,299.2131881,41.4248195,3
Kepler-1180 b,TIC 271966200,16.8601286,0.0001369,,,2454972.84599,0.00771,,,0.01569,0.00047,6077,0,4.36,295.8874773,43.1559952,4
Kepler-1181 b,TIC 394176812,4.89337519,2.526E-05,,,2454966.64331,0.00414,,,0.01088,0.00041,6176,0.03,4.27,289.7473165,39.5234131,1
Kepler-1182 b,TIC 272270522,11.17394617,6.278E-05,,,2454967.70408,0.00473,,,0.02056,9E-05,5924,0.01,4.41,296.3079895,43.8213706,4
Kepler-1183 b,TIC 137550938,28.5057189,0.0003031,,,2454965.92018,0.00841,,,0.02557,0.00106,5765,0.04,4.45,292.2324228,38.8921946,1
Kepler-1184 b,TIC 159725400,53.5991044,0.0003674,,,2454980.42885,0.00524,,,0.02282,0.00303,5983,-0.04,4.41,291.282031,46.9659514,4
Kepler-1185 b,TIC 121121775,104.3518976,0.0006705,,,2455023.10231,0.00528,,,0.01395,0.00083,5622,-0.04,4.54,287.2411783,39.3326977,2
Kepler-1186 b,TIC 158730884,16.07677615,7.199E-05,,,2454976.38764,0.00383,,,0.02222,0.00013,5635,0,4.49,288.4796333,47.1017438,4
Kepler-1187 b,TIC 121021644,18.87064068,6.002E-05,,,2454976.95521,0.00257,,,0.02244,0.00077,5975,-0.01,4.39,286.8919996,38.3185034,1
Kepler-1188 b,TIC 164460740,17.1369543,0.0001214,,,2454974.01371,0.00633,,,0.01825,0.00053,5913,0,4.4,283.1038438,43.1480487,4
Kepler-1189 b,TIC 267991349,3.78858982,2.274E-05,,,2454967.6227,0.00476,,,0.014,0.00029,6012,0.08,4.36,298.4264116,47.9468194,4
Kepler-119 b,TIC 271964647,2.422082,1E-06,,,2454965.93928,0.00019,,,,,5595,,4.57,295.9463854,42.6588324,4
Kepler-119 c,TIC 271964647,4.125103,2.8E-05,,,2454966.64137,0.00452,,,,,5595,,4.57,295.9463854,42.6588324,4
Kepler-1190 b,TIC 48504464,10.45843441,5.281E-05,,,2454970.65022,0.00401,,,0.01672,0.00025,4730,-0.02,4.62,284.9996582,49.4799506,6
Kepler-1191 b,TIC 26538999,5.60014851,1.909E-05,,,2454968.96163,0.00302,,,0.01703,0.00074,5308,-0.08,4.56,291.6577923,48.0092619,4
Kepler-1192 b,TIC 123416753,25.2034787,0.0001278,,,2454970.56218,0.00411,,,0.02557,0.00121,5438,-0.16,4.55,282.1405603,43.8964934,4
Kepler-1193 b,TIC 298897851,2.83265213,9.03E-06,,,2454964.82631,0.00264,,,0.00991,0.00028,5908,0.12,4.31,288.1447323,51.2756446,6
Kepler-1194 b,TIC 137317096,16.22371307,8.867E-05,,,2454969.02705,0.004,,,0.0151,0.00067,5590,0,4.49,291.6994841,38.1452065,1
Kepler-1195 b,TIC 120252007,8.49642241,2.872E-05,,,2454971.73517,0.00277,,,0.02723,0.00154,4965,-0.25,4.61,284.3510523,40.8529319,4
Kepler-1196 b,TIC 63210324,66.1849031,0.0004661,,,2454974.61516,0.00661,,,0.0212,0.0011,5756,0,4.46,292.369585,43.9108663,4
Kepler-1197 b,TIC 63004645,2.03231845,3.75E-06,,,2454965.64366,0.00155,,,0.01647,0.00015,4708,0.06,4.62,291.6693437,42.5907441,2
Kepler-1198 b,TIC 158843826,7.6847716,3.25E-05,,,2454970.63985,0.00383,,,0.01544,0.00085,5517,0.03,4.5,288.8339659,44.838198,4
Kepler-1199 b,TIC 270696519,15.0447198,0.0001084,,,2454966.20727,0.00558,,,0.00937,0.00034,5889,-0.27,4.27,293.7258092,47.2469219,4
Kepler-12 b,TIC 405717754,4.4379629,6E-07,,,2455004.00915,1E-05,8.019,0.014,0.11887,9E-05,5947,0.07,4.17,286.2434458,50.0403671,6
Kepler-120 b,TIC 121458707,6.312501,8E-06,,,2454965.65419,0.00084,,,,,4096,,4.73,287.8915707,39.3390979,2
Kepler-120 c,TIC 121458707,12.794585,4.4E-05,,,2454963.76464,0.00209,,,,,4096,,4.73,287.8915707,39.3390979,2
Kepler-1200 b,TIC 272489594,1.11854972,3.12E-06,,,2454965.84717,0.00222,,,0.01432,0.00052,4612,0.04,4.63,296.6034317,44.1292537,4
Kepler-1201 b,TIC 377915758,15.18725932,8.158E-05,,,2454967.05581,0.0046,,,0.01749,0.00228,6177,0.03,4.32,294.6147908,40.8331158,3
Kepler-1202 b,TIC 63209010,28.6851324,0.0001899,,,2454992.87673,0.00528,,,0.02631,0.00578,5834,0.06,4.42,292.290606,44.6532281,4
Kepler-1203 b,TIC 63449012,0.58800076,5.8E-07,,,2454965.059132,0.000817,,,0.01558,0.0008,4105,0.01,4.67,292.7734523,44.178088,4
